source,model_id,status,detail,pages,rows,truncated
olx,rtx-2060-6gb,error,robots_http_403,0,0,False
olx,rtx-2060-super-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-2070-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-2070-super-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-2080-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-2080-super-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-2080-ti-11gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3050-6gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3050-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3060-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3060-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3060-ti-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3070-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3070-ti-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3080-10gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3080-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3080-ti-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3090-24gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-3090-ti-24gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4060-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4060-ti-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4060-ti-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4070-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4070-super-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4070-ti-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4070-ti-super-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4080-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4080-super-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-4090-24gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-5060-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-5060-ti-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-5060-ti-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-5070-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-5070-ti-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-5080-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rtx-5090-32gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6600-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6600-xt-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6650-xt-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6700-xt-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6750-xt-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6800-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6800-xt-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6900-xt-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-6950-xt-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-7600-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-7600-xt-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-7700-xt-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-7800-xt-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-7900-gre-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-7900-xt-20gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-7900-xtx-24gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-9060-xt-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-9060-xt-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-9070-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,rx-9070-xt-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,arc-a750-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,arc-a770-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,arc-b580-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-5-3600,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-5-5500,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-5-5600,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-5-5600x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-7-5700x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-7-5700x3d,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-7-5800x3d,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-5-7500f,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-5-7600,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-5-7600x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-7-7700,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-7-7800x3d,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-9-7950x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-5-9600x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-7-9700x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-7-9800x3d,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-9-9900x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-9-9950x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,ryzen-9-9950x3d,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-i3-12100f,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-i5-12400f,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-i5-13400f,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-i5-13600k,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-i5-14400f,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-i5-14600k,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-i7-14700k,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-i9-14900k,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-ultra-5-245k,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-ultra-7-265k,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-core-ultra-9-285k,skipped,source_circuit_open: robots_http_403,0,0,False
olx,msi-b650-gaming-plus-wifi,skipped,source_circuit_open: robots_http_403,0,0,False
olx,msi-b550-tomahawk,skipped,source_circuit_open: robots_http_403,0,0,False
olx,gigabyte-b650-eagle-ax,skipped,source_circuit_open: robots_http_403,0,0,False
olx,asus-tuf-gaming-b760-plus-wifi-ddr5,skipped,source_circuit_open: robots_http_403,0,0,False
olx,kingston-fury-beast-32gb-ddr5-6000-cl30,skipped,source_circuit_open: robots_http_403,0,0,False
olx,corsair-vengeance-32gb-ddr5-6000-cl30,skipped,source_circuit_open: robots_http_403,0,0,False
olx,kingston-fury-beast-16gb-ddr4-3200-cl16,skipped,source_circuit_open: robots_http_403,0,0,False
olx,samsung-990-pro-1tb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,samsung-990-pro-2tb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,wd-black-sn850x-2tb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,kingston-nv3-1tb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,team-mp33-pro-2tb,skipped,source_circuit_open: robots_http_403,0,0,False
olx,seagate-barracuda-st2000dm008,skipped,source_circuit_open: robots_http_403,0,0,False
olx,wd-blue-wd20ezbx,skipped,source_circuit_open: robots_http_403,0,0,False
olx,corsair-rm750e-750w,skipped,source_circuit_open: robots_http_403,0,0,False
olx,corsair-rm850e-850w,skipped,source_circuit_open: robots_http_403,0,0,False
olx,be-quiet-pure-power-12-m-750w,skipped,source_circuit_open: robots_http_403,0,0,False
olx,msi-mag-a750gl-pcie5,skipped,source_circuit_open: robots_http_403,0,0,False
olx,corsair-4000d-airflow,skipped,source_circuit_open: robots_http_403,0,0,False
olx,nzxt-h5-flow,skipped,source_circuit_open: robots_http_403,0,0,False
olx,deepcool-cc560,skipped,source_circuit_open: robots_http_403,0,0,False
olx,deepcool-ak400,skipped,source_circuit_open: robots_http_403,0,0,False
olx,thermalright-peerless-assassin-120-se,skipped,source_circuit_open: robots_http_403,0,0,False
olx,noctua-nh-d15,skipped,source_circuit_open: robots_http_403,0,0,False
olx,arctic-liquid-freezer-iii-360,skipped,source_circuit_open: robots_http_403,0,0,False
olx,arctic-p12-pwm-pst,skipped,source_circuit_open: robots_http_403,0,0,False
olx,noctua-nf-a12x25-pwm,skipped,source_circuit_open: robots_http_403,0,0,False
olx,tp-link-archer-tx3000e,skipped,source_circuit_open: robots_http_403,0,0,False
olx,intel-x550-t2,skipped,source_circuit_open: robots_http_403,0,0,False
olx,creative-sound-blaster-ae-5-plus,skipped,source_circuit_open: robots_http_403,0,0,False
olx,asus-drw-24d5mt,skipped,source_circuit_open: robots_http_403,0,0,False
olx,aoc-24g4x,skipped,source_circuit_open: robots_http_403,0,0,False
olx,dell-g2724d,skipped,source_circuit_open: robots_http_403,0,0,False
olx,logitech-g413-se,skipped,source_circuit_open: robots_http_403,0,0,False
olx,logitech-g502-hero,skipped,source_circuit_open: robots_http_403,0,0,False
olx,hyperx-cloud-iii,skipped,source_circuit_open: robots_http_403,0,0,False
olx,apc-bx750mi,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-2060-6gb,error,robots_http_403,0,0,False
desktop,rtx-2060-super-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-2070-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-2070-super-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-2080-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-2080-super-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-2080-ti-11gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3050-6gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3050-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3060-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3060-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3060-ti-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3070-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3070-ti-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3080-10gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3080-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3080-ti-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3090-24gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-3090-ti-24gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4060-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4060-ti-8gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4060-ti-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4070-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4070-super-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4070-ti-12gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4070-ti-super-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4080-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
desktop,rtx-4080-super-16gb,skipped,source_circuit_open: robots_http_403,0,0,False
